"v.prev","region.1","region.2","region.3","region.4","region.5"
0.565133328723908,0,0,1,0,0
0.629733346684774,0,0,0,1,0
0.613366670163472,0,0,0,1,0
0.539733344459534,0,0,1,0,0
0.543666702906291,0,0,0,1,0
0.584566701952616,0,0,0,1,0
0.566633343823751,1,0,0,0,0
0.534600032583872,1,0,0,0,0
0.152999997138977,0,0,0,0,1
0.611633290735881,0,0,1,0,0
0.523033343982697,0,0,1,0,0
0.518299977588654,0,0,0,1,0
0.657366662693024,0,0,0,1,0
0.537000003655752,0,1,0,0,0
0.581833334445953,0,1,0,0,0
0.524800026067098,0,1,0,0,0
0.602099974091848,0,1,0,0,0
0.529166691144307,0,0,1,0,0
0.584099987602234,0,0,1,0,0
0.549599981244405,1,0,0,0,0
0.501166654507319,1,0,0,0,0
0.489766651884715,1,0,0,0,0
0.548066697978973,0,1,0,0,0
0.505500021378199,0,1,0,0,0
0.582999997297923,0,0,1,0,0
0.533566686375936,0,1,0,0,0
0.570766682402293,0,0,0,1,0
0.665466688283284,0,1,0,0,0
0.603833326975505,0,0,0,1,0
0.632033331902822,1,0,0,0,0
0.564166665871938,1,0,0,0,0
0.547800015417735,0,0,0,1,0
0.52436664425532,1,0,0,0,0
0.571833309491475,0,0,1,0,0
0.614366671593984,0,1,0,0,0
0.552200000635783,0,1,0,0,0
0.603233325068156,0,0,1,0,0
0.544333343505859,0,0,0,1,0
0.526566670163472,1,0,0,0,0
0.478700007629395,1,0,0,0,0
0.572766618665059,0,0,1,0,0
0.599733334604899,0,1,0,0,0
0.554300017801921,0,0,1,0,0
0.594033358287811,0,0,1,0,0
0.692699998092651,0,0,0,1,0
0.559299989509582,1,0,0,0,0
0.608066638533274,0,0,1,0,0
0.554433295345306,0,0,0,1,0
0.493566658401489,1,0,0,0,0
0.527833360989889,0,1,0,0,0
0.633833340326945,0,0,0,1,0
